시군명,관서명,소재지도로명주소,WGS84위도,WGS84경도
오산시,오산,경기도 오산시 운암로 11,37.1474244143,127.0758985334
오산시,세교,경기도 오산시 세마역로 5,37.1811627656,127.0439520588
오산시,중앙,경기도 오산시 오산로 221,37.1468197530,127.0682109340
오산시,궐동,경기도 오산시 오산로 371,37.1596574597,127.0661782567
화성시,팔탄,경기도 화성시 팔탄면 서촌길 9,37.1604988928,126.9031365040
화성시,비봉,경기도 화성시 비봉면 양노로 56,37.2362116972,126.8674899422
화성시,마도,경기도 화성시 마도면 석교로 179,37.2061750506,126.7743410596
화성시,양감,경기도 화성시 양감면 은행나무로 263,37.0816292473,126.9447535328
화성시,태안,경기도 화성시 떡전골로 112-2,37.2083796320,127.0332624172
화성시,동탄,경기도 화성시 노작로 226-1,37.2074907147,127.0774108429
화성시,정남,경기도 화성시 정남면 만년로 582,37.1729753906,126.9839843606
화성시,안용,경기도 화성시 용주로32번길 4,37.2058477928,127.0133763841
화성시,동탄2,경기도 화성시 동탄영천로 70,37.2090153654,127.1038638840
화성시,반월,경기도 화성시 영통로27번길 25-19,37.2308367880,127.0624452376
화성시,동탄3,경기도 화성시 왕배산길 6,37.1812048921,127.1225637636
화성시,우정,경기도 화성시 우정읍 조암남로 31,37.0841524173,126.8184065692
화성시,서신,경기도 화성시 서신면 매화1길 31,37.1701919534,126.7055702356
화성시,송산,경기도 화성시 송산면 송산포도로 98,37.2141955499,126.7381538426
화성시,매송,경기도 화성시 매송면 화성로 2249,37.2499525820,126.9119258701
화성시,봉담,경기도 화성시 봉담읍 와우로15번길 17,37.2165988430,126.9707145733
화성시,남양,경기도 화성시 남양읍 남양시장로 47,37.2090835638,126.8147037371
화성시,발안,경기도 화성시 향남읍 3.1만세로 1095,37.1319365011,126.9073688674
